U3Y7xT8KZwQilb__FGHeIQ,CsS9WsonGYyE3vINi5bxSg,4.0
KgFOJnWXxVuz0b-xfo6jjw,GHUHWAaVjKDn74r50EKKMA,4.0
XbiKsujS_qxU3xsr0xUqmQ,-ICGmF2qUVKdvOehVNgPbg,5.0
z66KKknqWzFBWZb0GbEi2g,EgrW38gqGcNH2tKdRd_XZQ,3.0
uO1w3qNo21c1bVHHFTYW0w,rl137V_5Hx0cJAV4beVdhA,5.0
a5_ux4DiaYyUadudGf4DAQ,5nyKUHibR4GCs6ojVljFdA,5.0
VmLgwBL0WES_efM1Lok_1A,3xUoXuEgJhHlSgBsSfKeCQ,4.0
x4TwK62HyLeO56zGsSN0yw,Ycp3Agr7dt71TZkeKV7jng,4.0
eWWuc4pP9W95RftX9PjcHQ,FfJD4vO-iYUL2Kr0WWzNYg,5.0
h69CQvbyAD7JVOc5VPz0_g,EK38MXW_OsC5CZVvIZodIw,4.0
w_yPQOQ-_eKRKZU96foIIQ,9yrAfE46k-_kqg4ULHu8Vw,4.0
aX6_Pf3njB-H3FrqgnNJ2g,-Tpo5r3kF_z4iilx8JXhvA,3.0
RypxyWecy2gbECH3-yU4eA,LCb2moBNkcBto_32rmZJ5A,4.0
oerw70Uc1dQl8t-86fOUsg,c78Pat78fVUBFPXYeVvbaQ,5.0
zWWcik1fRPZviBCQLC26FQ,cisqOxAgQPjVVr9Yzk8_dw,3.0
lDtXjw6HWOxQT0owoM_1eA,-ICGmF2qUVKdvOehVNgPbg,3.0
TX5kwQLpKUDvNf4mfdaH3Q,cisqOxAgQPjVVr9Yzk8_dw,4.0
yRB4UrgnLs3BxbVM1QQ0Gw,mES9E5K4HbYoPFXGv0pUuw,3.0
ATvRfVqa36rMY3O9p1YwLg,q9_gLvTNf11etVxbH7JY0Q,4.0
w9VSbG6bWPflax5_gwt6pg,rl137V_5Hx0cJAV4beVdhA,3.0
x3CYEPrebo-j_LhEHXrfEw,F-bdXFkJwwENiNpMTG2ntQ,4.0
O3pSxv1SyHpY4qi4Q16KzA,_u1Bq7QsgMUXSMex8QHqLQ,4.0
4eaCfcwqGxFU_2qvdA_-QQ,KUlm5OuKYJ6nGj0EUwcY9w,4.0
FFLDVmktx5kkAANhTR0Szg,zrYpLdnGKA_EmOhgRCy_vg,3.0
2HjBjUrqjjVfopPfghgpqw,FfJD4vO-iYUL2Kr0WWzNYg,5.0
R7G6h1iMjTfBlJ_7_5lTJw,ejKXczjEkm1gzyRdblQm8w,5.0
8TnM8JFaxRA3M-i6xEbLgA,mUUTJY9_BqmAYxypHiqWrw,5.0
uHZr3XbjKvRTwdXLXrFuvg,5dy8OiWJty9AuxBcBzeBZQ,3.0
w_yPQOQ-_eKRKZU96foIIQ,0BW6h-igJinzbqc-prYUaQ,4.0
WrhnuLDFmyu_bB-FLP_gsA,EK38MXW_OsC5CZVvIZodIw,4.0
9LG2j-NdUzYpG2zyLW5erw,fN_I3jP7RD2llubTvhXtKQ,4.0
wvjcjOdVAcvJ-6Lc4Yn9-Q,FfJD4vO-iYUL2Kr0WWzNYg,5.0
C282JQOYkRWeAjAcfKlK1g,GEvolb_U74NXgfgdxrVtyQ,3.0
1qXF97Qrv2BVVL4geyadDg,5nyKUHibR4GCs6ojVljFdA,3.0
BwwqlPVsJk1dbUyNwCWB7Q,c35qzLN6ItDpVIoj2uQW4Q,4.0
X-VOe5bzT9EJu_L_Bt0nLQ,-PKUAor_Nz_IaNjP_jIwyA,3.0
wXdrUQg4-VkSZH1FG4Byzw,sKrt4CMGyG8YAjxVkk4hPQ,4.0
z53uSRCr7BHaZ5Rmj03yCg,O-uIEuv7JLUHajkemx_sVw,3.0
yQelw2nnzrK7Y7XbBX8Pyg,q9_gLvTNf11etVxbH7JY0Q,5.0
XNbrAATnVNAg1eTjMjn-pA,aRqxT28Tdz2aDiZ7Vkyejw,5.0
94FDFrBJzciS-pP6MV8bRg,bRntmjztJ4dFDA_LYiEECw,5.0
3qMeM2IZP1L_E-aI08-0xw,5nyKUHibR4GCs6ojVljFdA,2.0
npL9RrkAslHCf5JURxhl7w,fN_I3jP7RD2llubTvhXtKQ,3.0
YWkIeKGcuRFLwxcTBvn6Yg,-PKUAor_Nz_IaNjP_jIwyA,3.0
TibBhm-fbksozIDFD8wjPQ,EWmwbOm_4UhOtvLaBzHpPA,3.0
cCpiu1GqdzxlvANKuiAp0Q,q9_gLvTNf11etVxbH7JY0Q,5.0
NZPoW7bv_62nAJ-yXpVl1g,LCb2moBNkcBto_32rmZJ5A,3.0
TvenTNXyYtMNtED0i2tXfA,O-uIEuv7JLUHajkemx_sVw,3.0
xXyZPAbfQzYTCig7jnZO0A,3uIXuw878fNjxZ2Li1diFg,4.0
66R-1FGOg7SoJLtkSXVfuQ,h_ypoQ2rmwX8UGSmohsGiQ,4.0
Zd3wzNdevk15CwMIJdbjZw,rl137V_5Hx0cJAV4beVdhA,2.0
2AAIpyvPPCeQMi1_FKjNXw,ybbcg01-j7tKJ_oLEY1uPQ,4.0
OwUN6CD6q_TKGDBLUpt7Og,mES9E5K4HbYoPFXGv0pUuw,3.0
79yaBDbLASfIdB-C2c8DzA,mUUTJY9_BqmAYxypHiqWrw,5.0
HkJ1p-QlRx6FJztgjr4Vnw,O-uIEuv7JLUHajkemx_sVw,4.0
aX6_Pf3njB-H3FrqgnNJ2g,WVAvGK24DQ9FdsEHBqIygQ,4.0
yT_QCcnq-QGipWWuzIpvtw,gy5pr5bFAjOL5rERSdMCLg,4.0
Vqp0dpug9Db-kFHO3PkAaQ,02BXFKzu1rgaYulNGYvi6g,4.0
